partner_id,pan_number,full_name,work_date,net_daily_income,fuel_expense,bank_name,account_last4
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-09,2438,165,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-10,0,93,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-11,1847,172,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-12,2070,86,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-13,1693,154,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-14,2309,136,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-15,0,86,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-16,2217,133,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-17,0,104,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-18,2296,151,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-19,2403,110,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-20,2447,70,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-21,1159,132,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-22,2004,64,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-23,1391,117,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-24,1140,118,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-25,1788,75,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-26,888,57,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-27,1333,72,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-28,1260,164,Axis Bank,7823
CF-P-004,MNOPQ5678K,Priya Mehta,2024-12-29,1424,108,Axis Bank,7823
